                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.99193,                0.97468,                 1.3932,                0.75495,                0.71029,                0.77125,                0.56929,                 1.0421,                 1.0901,                 1.5062,               0.003466,               0.003466,               0.003466
                     35,                0.97838,                0.96326,                 1.3841,                0.71451,                0.73992,                0.79315,                0.58643,                 1.0277,                  1.014,                 1.4729,               0.003268,               0.003268,               0.003268
                     36,                0.98269,                0.97653,                 1.3883,                0.82153,                0.68171,                0.78295,                0.56408,                 1.0592,                 1.0773,                 1.5013,                0.00307,                0.00307,                0.00307
                     37,                0.97051,                 0.9306,                 1.3643,                0.80103,                0.67239,                0.78185,                0.57096,                 1.0457,                 1.0499,                 1.5209,               0.002872,               0.002872,               0.002872
                     38,                0.95158,                0.92763,                 1.3634,                0.80697,                0.70611,                0.78765,                 0.5873,                 1.0501,                 1.0884,                 1.4946,               0.002674,               0.002674,               0.002674
                     39,                0.94302,                0.89777,                 1.3543,                0.75323,                0.75061,                0.78195,                0.57581,                 1.0676,                 1.0454,                 1.4945,               0.002476,               0.002476,               0.002476
                     40,                0.83615,                0.64095,                 1.3384,                0.81324,                0.72824,                0.80181,                0.57989,                 1.0761,                0.97859,                 1.5215,               0.002278,               0.002278,               0.002278
                     41,                0.83098,                0.62496,                 1.3244,                0.78527,                0.69434,                0.79715,                0.58691,                 1.0616,                 1.0718,                 1.4962,                0.00208,                0.00208,                0.00208
                     42,                0.80324,                0.60371,                 1.3038,                0.77114,                0.75454,                0.82549,                0.59714,                 1.0464,                0.97604,                 1.4878,               0.001882,               0.001882,               0.001882
                     43,                0.79687,                0.56456,                 1.2967,                  0.775,                0.77109,                 0.7924,                0.58606,                 1.0633,                0.94553,                 1.5037,               0.001684,               0.001684,               0.001684
                     44,                0.77471,                0.53363,                 1.2826,                0.82402,                0.74608,                0.83291,                0.62826,                 1.0008,                0.89969,                 1.4492,               0.001486,               0.001486,               0.001486
                     45,                0.75196,                 0.5165,                 1.2588,                0.79812,                0.70768,                0.82434,                0.62356,                 1.0094,                0.94093,                 1.4534,               0.001288,               0.001288,               0.001288
                     46,                0.74083,                0.51012,                  1.251,                0.80031,                0.74865,                0.82927,                0.63755,                0.97594,                0.88656,                 1.4418,                0.00109,                0.00109,                0.00109
                     47,                0.71331,                0.47939,                 1.2234,                0.81457,                0.73791,                0.83206,                0.63716,                0.97075,                0.90922,                  1.438,               0.000892,               0.000892,               0.000892
                     48,                0.71542,                0.46869,                  1.233,                0.80998,                0.76634,                0.83392,                0.64511,                0.95937,                 0.8856,                 1.4464,               0.000694,               0.000694,               0.000694
                     49,                0.69198,                0.45088,                 1.2209,                0.84115,                0.76169,                0.83718,                0.64713,                0.97428,                0.88223,                 1.4492,               0.000496,               0.000496,               0.000496
